title_id	ordering	type
tt0472885	1	imdbDisplay
tt0476116	1	original
tt0477685	2	original
tt0478087	33	imdbDisplay
tt0479475	2	imdbDisplay
tt0480786	1	original
tt0481382	1	imdbDisplay
tt0488005	3	alternative
tt0492323	3	imdbDisplay
tt0492758	1	imdbDisplay
tt0493813	1	original
tt0494769	1	original
tt0494841	3	original
tt0495419	2	imdbDisplay
tt0496436	3	imdbDisplay
tt0496747	1	imdbDisplay
tt0496775	2	imdbDisplay
tt0496821	2	original
tt0498015	2	original
tt0498415	2	original
tt0498672	2	imdbDisplay
tt0534098	3	original
tt0644755	2	original
tt0758933	1	imdbDisplay
tt0759652	3	imdbDisplay
tt0762121	9	original
tt0764989	1	original
tt0765725	1	imdbDisplay
tt0765829	2	imdbDisplay
tt0784146	1	imdbDisplay
tt0787505	10	imdbDisplay
tt0791204	2	imdbDisplay
tt0795366	2	imdbDisplay
tt0799949	17	imdbDisplay
tt0806175	3	original
tt0807026	1	original
tt0808508	18	alternative
tt0808894	3	original
tt0809504	7	imdbDisplay
tt0812324	3	imdbDisplay
tt0813495	4	imdbDisplay
tt0814194	1	original
tt0814241	2	original
tt0819768	2	imdbDisplay
tt0826109	1	original
tt0827947	2	original
tt0829183	2	original
tt0830570	6	original
tt0832873	3	original
tt0835783	1	original
tt0841027	7	imdbDisplay
tt0841157	1	original
tt0843256	1	original
tt0844420	2	imdbDisplay
tt0844724	2	imdbDisplay
tt0845952	16	alternative
tt0847047	2	original
tt0864928	1	imdbDisplay
tt0871857	2	working
tt0885761	1	imdbDisplay
tt0889659	2	original
tt0907634	2	original
tt0910907	3	alternative
tt0913401	10	imdbDisplay
tt0918936	2	original
tt0939443	1	imdbDisplay
tt0953593	2	original
tt0958135	2	original
tt0961133	2	original
tt0961174	1	original
tt0963737	1	original
tt0983193	6	imdbDisplay
tt0991139	2	original
tt0995064	3	imdbDisplay
tt10075518	2	imdbDisplay
tt10130442	2	imdbDisplay
tt10154968	2	original
tt10168096	1	original
tt1017862	2	original
tt10180448	2	imdbDisplay
tt10201294	2	original
tt1029293	1	imdbDisplay
tt10313066	9	imdbDisplay
tt10340152	1	imdbDisplay
tt10340748	4	imdbDisplay
tt10355058	4	imdbDisplay
tt10369250	1	imdbDisplay
tt10382782	2	imdbDisplay
tt10394192	1	original
tt1039823	2	imdbDisplay
tt10423432	1	original
tt10434116	5	imdbDisplay
tt1044984	3	imdbDisplay
tt10457670	5	imdbDisplay
tt10473150	7	imdbDisplay
tt1051914	2	original
tt10521308	3	imdbDisplay
