titleId	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt8192790	tvEpisode	Episode #1.8	Episode #1.8	0		\N	\N	Game-Show
tt8195570	tvEpisode	Episode #1.18	Episode #1.18	0	1987	\N	22	Romance
tt8202400	tvEpisode	Episode #1.32	Episode #1.32	0	1978	\N	\N	Music
tt8205178	tvEpisode	Episode #8.7	Episode #8.7	0	2016	\N	\N	Sci-Fi
tt8208830	tvEpisode	Episode #8.120	Episode #8.120	0	2017	\N	\N	Sci-Fi
tt8209660	tvEpisode	Episode #1.4	Episode #1.4	0	1985	\N	22	\N
tt8212744	tvEpisode	Episode dated 4 April 2018	Episode dated 4 April 2018	0	2018	\N	\N	Talk-Show
tt8214576	tvEpisode	Episode #1.11	Episode #1.11	0	2002	\N	44	\N
tt8217832	tvEpisode	Episode #1.110	Episode #1.110	0	1986	\N	22	\N
tt8220226	tvEpisode	Episode dated 6 April 2018	Episode dated 6 April 2018	0	2018	\N	\N	News
tt8223032	tvEpisode	Episode #2.3	Episode #2.3	0	2019	\N	\N	Horror,Mystery,Romance
tt8225192	tvEpisode	Episode #1.88	Episode #1.88	0	2009	\N	44	Drama
tt8225504	tvEpisode	Episode #1.145	Episode #1.145	0	1999	\N	22	Drama
tt8225916	tvEpisode	Episode #1.7	Episode #1.7	0	2018	\N	\N	Comedy,Drama
tt8227240	short	Construction du barrage de Jons	Construction du barrage de Jons	0	1937	\N	40	Documentary,Short
tt8228152	tvEpisode	Episode #1.22	Episode #1.22	0	2003	\N	\N	Drama
tt8229804	tvEpisode	Episode #1.119	Episode #1.119	0	2009	\N	44	Drama
tt8229994	tvEpisode	Episode #1.41	Episode #1.41	0	2007	\N	\N	Drama
tt8231972	tvEpisode	Episode dated 5 April 2018	Episode dated 5 April 2018	0	2018	\N	\N	News
tt8233378	tvEpisode	Episode #1.102	Episode #1.102	0	2002	\N	\N	Drama
tt8233862	tvEpisode	Episode #1.127	Episode #1.127	0	1984	\N	22	\N
tt8235956	tvEpisode	Episode #2.3	Episode #2.3	0	2018	\N	\N	Reality-TV
tt8238700	tvEpisode	Episode #1.69	Episode #1.69	0	1988	\N	\N	Drama
tt8239038	tvEpisode	Episode #1.214	Episode #1.214	0	1983	\N	22	Drama,Romance
tt8239692	tvEpisode	Episode #1.9	Episode #1.9	0	2006	\N	\N	Comedy
tt8239970	tvEpisode	Episode #4.4	Episode #4.4	0	2018	\N	\N	Action,Drama,Music
tt8240412	tvSeries	GhostszTalk	GhostszTalk	0	2013	2018	\N	Talk-Show
tt8240520	tvEpisode	Eine harte Ansage	Eine harte Ansage	0	2018	\N	\N	Drama,Romance
tt8240768	tvEpisode	Episode dated 14 March 1969	Episode dated 14 March 1969	0	1969	\N	\N	News,Talk-Show
tt8240780	tvEpisode	Episode #1.8	Episode #1.8	0	2017	\N	\N	Sport,Talk-Show
tt8244378	tvEpisode	Episode #1.16	Episode #1.16	0	1974	\N	30	Drama,Romance
tt8249648	tvEpisode	Episode #1.4	Episode #1.4	0	1991	\N	\N	Comedy
tt8249982	tvEpisode	Episode #1.74	Episode #1.74	0	1991	\N	\N	Drama,Romance
tt8252386	tvEpisode	Episode #1.95	Episode #1.95	0	2007	\N	\N	Comedy,Drama
tt8256392	tvEpisode	Episode #1.86	Episode #1.86	0	2006	\N	\N	Comedy,Drama,Romance
tt8256904	tvEpisode	Episode #1.46	Episode #1.46	0	1986	\N	22	\N
tt8260358	tvEpisode	Episode #5.82	Episode #5.82	0	2018	\N	\N	News
tt8260760	tvEpisode	Episode #1.62	Episode #1.62	0	1974	\N	30	Drama,History,Romance
